"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13517","test_checkout_process[edge]","tests","Thu Oct 23 12:39:20 IST 2025","passed","Thu Oct 23 12:39:33 IST 2025","","test_checkout","",""
"","6683","test_login_invalid[edge]","tests","Thu Oct 23 12:40:20 IST 2025","passed","Thu Oct 23 12:40:27 IST 2025","","test_login","",""
"","2827","test_login_csv[edge-user2]","tests","Thu Oct 23 12:41:42 IST 2025","passed","Thu Oct 23 12:41:45 IST 2025","","test_login_csv","",""
"","12674","test_checkout_process[chrome]","tests","Thu Oct 23 12:38:57 IST 2025","passed","Thu Oct 23 12:39:10 IST 2025","","test_checkout","",""
"","5415","test_login_invalid[chrome]","tests","Thu Oct 23 12:40:05 IST 2025","passed","Thu Oct 23 12:40:11 IST 2025","","test_login","",""
"","3352","test_add_to_cart[chrome]","tests","Thu Oct 23 12:38:32 IST 2025","passed","Thu Oct 23 12:38:36 IST 2025","","test_add_to_cart","",""
"","2657","test_login_csv[edge-user0]","tests","Thu Oct 23 12:41:27 IST 2025","passed","Thu Oct 23 12:41:29 IST 2025","","test_login_csv","",""
"","6532","test_login_csv[chrome-user1]","tests","Thu Oct 23 12:40:43 IST 2025","passed","Thu Oct 23 12:40:50 IST 2025","","test_login_csv","",""
"","8535","test_login_valid[chrome]","tests","Thu Oct 23 12:39:41 IST 2025","passed","Thu Oct 23 12:39:50 IST 2025","","test_login","",""
"","2749","test_login_csv[chrome-user2]","tests","Thu Oct 23 12:41:19 IST 2025","passed","Thu Oct 23 12:41:22 IST 2025","","test_login_csv","",""
"","2766","test_login_valid[edge]","tests","Thu Oct 23 12:39:56 IST 2025","passed","Thu Oct 23 12:39:59 IST 2025","","test_login","",""
"","3183","test_login_csv[chrome-user0]","tests","Thu Oct 23 12:40:32 IST 2025","passed","Thu Oct 23 12:40:35 IST 2025","","test_login_csv","",""
"","8265","test_add_to_cart[edge]","tests","Thu Oct 23 12:38:40 IST 2025","passed","Thu Oct 23 12:38:49 IST 2025","","test_add_to_cart","",""
"","2800","test_login_csv[edge-user1]","tests","Thu Oct 23 12:41:34 IST 2025","passed","Thu Oct 23 12:41:37 IST 2025","","test_login_csv","",""
